seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3389111171,mse,moderate,0.02300007027012761,0.049226434866299774,0.9525,0.0,0.5175,195.48226103626985
3389111171,noise_aware,moderate,0.022409771123102405,0.051735174428202094,0.94,0.0,0.54,192.57185708010374
3389111171,sharpness_aware,moderate,0.025134759673826886,0.05474256575933974,0.9225,0.0,0.47,195.55502845612241
3084139821,mse,moderate,0.02405890182330821,0.05637208470981584,0.915,0.0,0.4975,198.495566363404
3084139821,noise_aware,moderate,0.023246130562131304,0.053178870215422225,0.94,0.0,0.5075,196.77234771938674
3084139821,sharpness_aware,moderate,0.025008268967973993,0.057320896181771844,0.9225,0.0,0.5,200.626145270536
2042987557,mse,moderate,0.022249836020172786,0.055872567152304674,0.9375,0.0,0.515,189.40978108771765
2042987557,noise_aware,moderate,0.02168594733440861,0.05080070597478826,0.9475,0.0,0.5375,187.00253703449778
2042987557,sharpness_aware,moderate,0.024113887011061735,0.057869940701670244,0.9275,0.0,0.5275,190.03430421187966
3002971205,mse,moderate,0.02241492196611497,0.053864815083098504,0.94,0.0,0.51,195.74670553709245
3002971205,noise_aware,moderate,0.023687559665476653,0.05379530500821225,0.93,0.0,0.4925,193.82734000147366
3002971205,sharpness_aware,moderate,0.025409898675286494,0.05711517149684138,0.905,0.0,0.505,196.96874351916472
4027510005,mse,moderate,0.024671993030127907,0.05818143810417981,0.9175,0.0,0.5375,196.15769252542455
4027510005,noise_aware,moderate,0.023139736054084956,0.052137901404181314,0.935,0.0,0.5375,197.60011279001566
4027510005,sharpness_aware,moderate,0.024645462928009985,0.05804145235662902,0.925,0.0,0.47,197.08585095640404
2672624958,mse,moderate,0.025869386028126596,0.059463227253293435,0.905,0.0,0.525,195.81518561583758
2672624958,noise_aware,moderate,0.02676868555899392,0.06369953242571115,0.89,0.0,0.5175,196.88981418856372
2672624958,sharpness_aware,moderate,0.025493868054125866,0.058458319663555844,0.9075,0.0,0.47,194.8063177430771
2738655513,mse,moderate,0.02350499975943376,0.05373837470339431,0.92,0.0,0.5525,191.37966741085836
2738655513,noise_aware,moderate,0.024561688231963696,0.060378814308062,0.9125,0.0,0.5325,192.62113164472643
2738655513,sharpness_aware,moderate,0.025351501271530665,0.06217302083018021,0.8975,0.0,0.5275,193.0564162234984
829092966,mse,moderate,0.023355096914686915,0.05536375544230446,0.9225,0.0,0.55,195.45980299103883
829092966,noise_aware,moderate,0.022568651341355325,0.052323710496090914,0.9325,0.0,0.545,192.36116373244312
829092966,sharpness_aware,moderate,0.02468369188920258,0.05399614558896684,0.9225,0.0,0.525,195.97089035712008
2633362063,mse,moderate,0.022685539088609877,0.05365543640409923,0.9475,0.0,0.5425,189.96191759814835
2633362063,noise_aware,moderate,0.022861254513020218,0.05504398388596239,0.94,0.0,0.53,190.78133894210964
2633362063,sharpness_aware,moderate,0.023300771064314958,0.0545567998551342,0.9175,0.0,0.535,189.19481412259898
