seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3389111171,mse,nominal,0.01926694426882765,0.03781410879310101,0.9825,0.0,0.7775,190.3297825104345
3389111171,noise_aware,nominal,0.018888995058620822,0.03945034253498156,0.9875,0.0,0.7725,190.91493694639092
3389111171,boundary_aware,nominal,0.018623341416040665,0.037588213103635734,0.985,0.0,0.78,191.82188931546335
3389111171,sharpness_aware,nominal,0.02057581666131285,0.03931007775127791,0.9775,0.0,0.705,190.62244625802782
3389111171,robust_control_aware,nominal,0.018563981733956177,0.03267189661152593,0.9875,0.0,0.675,191.38496009448582
3084139821,mse,nominal,0.020490943781792722,0.04206892764841959,0.9725,0.0,0.775,187.1362431376013
3084139821,noise_aware,nominal,0.018809366339062807,0.03976970545089688,0.985,0.0,0.7925,185.35748840536695
3084139821,boundary_aware,nominal,0.018501720058640862,0.03688553856868165,0.975,0.0,0.8175,185.95705212864772
3084139821,sharpness_aware,nominal,0.0214627773073688,0.04434817761547341,0.9675,0.0,0.65,186.2047534424808
3084139821,robust_control_aware,nominal,0.019372326751300586,0.034466089729094346,0.9825,0.0,0.665,187.31025519805837
2042987557,mse,nominal,0.019100948004634487,0.037068887596477404,0.985,0.0,0.7775,195.62893159079192
2042987557,noise_aware,nominal,0.018201467362168926,0.03548222429656493,0.99,0.0,0.7625,194.55541541258006
2042987557,boundary_aware,nominal,0.018266817328495236,0.0364742825085204,0.9875,0.0,0.7875,193.12789236389102
2042987557,sharpness_aware,nominal,0.020203806167270306,0.03677622947703011,0.985,0.0,0.67,193.0258225102838
2042987557,robust_control_aware,nominal,0.017378719898567336,0.030917851280014043,0.995,0.0,0.6775,194.25489631689595
3002971205,mse,nominal,0.02000851296391148,0.03817071538684205,0.9775,0.0,0.7475,193.84656501234934
3002971205,noise_aware,nominal,0.018450161320766986,0.036017900473967565,0.9875,0.0,0.7925,192.96392887972922
3002971205,boundary_aware,nominal,0.01854746266106703,0.036886571296986186,0.9775,0.0,0.8225,192.12482636861094
3002971205,sharpness_aware,nominal,0.02086864471431356,0.03830857133166874,0.9825,0.0,0.67,194.0566440600026
3002971205,robust_control_aware,nominal,0.018537614350327872,0.032567686619873366,0.985,0.0,0.665,193.2962126006293
4027510005,mse,nominal,0.020128833211627173,0.038179555190430724,0.9775,0.0,0.7575,186.64833619876327
4027510005,noise_aware,nominal,0.01981815099992598,0.041298347806405206,0.9725,0.0,0.7775,185.7636103691072
4027510005,boundary_aware,nominal,0.01893517304607102,0.03769475578320672,0.98,0.0,0.7775,186.33109235224637
4027510005,sharpness_aware,nominal,0.02101617081873359,0.04038061280982038,0.98,0.0,0.6825,185.69473892481483
4027510005,robust_control_aware,nominal,0.019023245803741484,0.03270397573821248,0.9725,0.0,0.68,183.88563958528218
2672624958,mse,nominal,0.019310058103846225,0.03791531098173979,0.9775,0.0,0.75,195.4328984275828
2672624958,noise_aware,nominal,0.01898411632210646,0.03856752629842943,0.98,0.0,0.76,195.503159376826
2672624958,boundary_aware,nominal,0.018798782959892808,0.03685019064899938,0.975,0.0,0.805,192.1982900389388
2672624958,sharpness_aware,nominal,0.02032690937375855,0.039221591405204814,0.9825,0.0,0.6275,191.3868408660697
2672624958,robust_control_aware,nominal,0.01840967078423581,0.032274049126907775,0.9825,0.0,0.6975,191.95508297370105
2738655513,mse,nominal,0.018965094030216793,0.03796330295146558,0.99,0.0,0.7225,191.17689195661353
2738655513,noise_aware,nominal,0.01888160413513613,0.03806628266471844,0.9775,0.0,0.76,190.27892007316473
2738655513,boundary_aware,nominal,0.018012565725205557,0.036668662158202525,0.9875,0.0,0.8125,189.9461872061895
