seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3389111171,mse,strong,0.0310432130672729,0.078123443511134,0.84,0.0,0.4575,194.00026755231434
3389111171,noise_aware,strong,0.030898336220586284,0.07548961123490684,0.835,0.0,0.4575,189.44598859234648
3389111171,sharpness_aware,strong,0.037847076795555344,0.08768223969201577,0.73,0.0025,0.445,196.86222189387706
3084139821,mse,strong,0.03287970674743306,0.07916322673860017,0.7925,0.0,0.4475,192.18337139537832
3084139821,noise_aware,strong,0.03397139693725196,0.0853762007574722,0.775,0.0,0.43,191.1289928599801
3084139821,sharpness_aware,strong,0.037559836357277464,0.09421555142354218,0.745,0.0,0.4425,195.55167632556504
2042987557,mse,strong,0.024109822670288203,0.061749332179979646,0.91,0.0,0.5175,183.20902043534417
2042987557,noise_aware,strong,0.023548438884015175,0.05835347906990673,0.915,0.0,0.49,182.02086548610413
2042987557,sharpness_aware,strong,0.026829177371424328,0.0636510958139435,0.8775,0.0,0.4625,185.79248659608385
3002971205,mse,strong,0.02434328669196558,0.06035275617695373,0.8875,0.0,0.475,191.7911673868656
3002971205,noise_aware,strong,0.030773131913743593,0.07678695663212792,0.8125,0.0025,0.4625,188.93489397189444
3002971205,sharpness_aware,strong,0.03099988086076143,0.07600438900373163,0.8175,0.0025,0.475,194.5378781770874
4027510005,mse,strong,0.036026274923548256,0.08789025262485209,0.78,0.0025,0.4325,195.794824726852
4027510005,noise_aware,strong,0.030901665033102363,0.07963731955382634,0.84,0.0025,0.45,190.93065989378485
4027510005,sharpness_aware,strong,0.02888243128848703,0.07238414370169191,0.8575,0.0,0.465,196.4317735499322
2672624958,mse,strong,0.03948149519698962,0.09259183074559527,0.7225,0.0,0.44,195.23024663063592
2672624958,noise_aware,strong,0.046588438504537664,0.10386657094727181,0.6375,0.0,0.4025,197.03875219449014
2672624958,sharpness_aware,strong,0.03428028407128462,0.07759042036486281,0.7875,0.0,0.4375,195.75568614104407
2738655513,mse,strong,0.03500777196626709,0.089312960612398,0.78,0.005,0.455,188.86803397712714
2738655513,noise_aware,strong,0.03394801129164159,0.08587377514411769,0.7825,0.0,0.4675,186.50818495424767
2738655513,sharpness_aware,strong,0.03802485521006674,0.0972890649393531,0.7475,0.0075,0.465,191.9302802685272
829092966,mse,strong,0.03359201797385614,0.08154179598011665,0.8,0.0,0.4425,185.40297504256927
829092966,noise_aware,strong,0.03030128921549006,0.07362870597259359,0.845,0.0,0.4575,186.38407469483673
829092966,sharpness_aware,strong,0.030697452345067343,0.0761749714240972,0.815,0.0,0.47,189.91500972339492
2633362063,mse,strong,0.02953119811012432,0.0796958614986104,0.86,0.0,0.485,188.98652189044475
