seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
826101762,control_aware,0.021191016626424836,0.04925352541464651,0.9525,0.0,0.515,201.30421642136076
826101762,mse,0.0223726792477675,0.052821968720732124,0.93,0.0,0.5025,201.60982151888516
88706269,control_aware,0.022446299211683937,0.05425107816978786,0.925,0.0,0.505,200.78794246962786
88706269,mse,0.023369229155365705,0.05780161346725098,0.92,0.0,0.5225,200.89608888093446
1123914361,control_aware,0.021391867165519232,0.05109481575627588,0.9475,0.0025,0.4925,202.73833712655326
1123914361,mse,0.022688454691755386,0.05533250375335759,0.935,0.0,0.5,202.5064448638002
1681658530,control_aware,0.021994752645144933,0.05339657974402752,0.93,0.0,0.4775,208.34035068188194
1681658530,mse,0.0223780110278344,0.05523909864568746,0.9275,0.0,0.5075,208.88386536427674
1294640583,control_aware,0.021560804153604264,0.05275871344580524,0.9425,0.0,0.5075,200.41029379500304
1294640583,mse,0.0239723066700253,0.05999317553414769,0.9075,0.0,0.5025,203.00697668087477
692964765,control_aware,0.022026313686509022,0.05370831417164448,0.93,0.0,0.5125,205.98674329690218
692964765,mse,0.02240806855546695,0.056319677854245145,0.915,0.0,0.5225,206.0412937376549
217731170,control_aware,0.022045625948112955,0.05347656119058006,0.9275,0.0,0.505,202.95920087057354
217731170,mse,0.0231374150117553,0.05632079064459097,0.92,0.0,0.5075,207.03685634886907
791006014,control_aware,0.022970124496391856,0.05742220021687877,0.9225,0.0,0.4725,201.5222067478174
791006014,mse,0.023201555589982076,0.05384651285253204,0.93,0.0,0.5075,201.509827305471
529637273,control_aware,0.021318312209533306,0.050637696757908746,0.9475,0.0,0.5325,203.23799689024898
529637273,mse,0.022677577512830595,0.054326093540256075,0.92,0.0,0.515,205.6722764383652
1781910839,control_aware,0.02162776293619095,0.054143738932064374,0.9325,0.0,0.5175,207.93578780844794
1781910839,mse,0.022947782107833232,0.05553255733044919,0.925,0.0,0.545,207.3654375646671
280357653,control_aware,0.021083102667398927,0.049999432228404264,0.95,0.0,0.53,205.30980889905445
280357653,mse,0.022224307865094318,0.05366697585208269,0.9275,0.0,0.4925,209.10080068430347
991786082,control_aware,0.021696232736388977,0.05113761502188959,0.9425,0.0,0.5325,199.77231943026206
991786082,mse,0.022793108664238025,0.05604433928081505,0.9275,0.0,0.49,199.82624729097483
55475422,control_aware,0.02166009079282679,0.05438584753328559,0.9325,0.0,0.4575,205.12041589259908
55475422,mse,0.02191575546546969,0.05335826635384913,0.94,0.0,0.5125,202.80353564532192
1915794536,control_aware,0.0219058169071785,0.05447664366941408,0.9225,0.0,0.525,202.3214139522371
1915794536,mse,0.022655156521150747,0.05300906322083262,0.935,0.0,0.5325,204.9475702569506
1417772135,control_aware,0.021599066148991115,0.054047106851951326,0.925,0.0,0.5175,204.5760383587757
1417772135,mse,0.0231500806100137,0.0578566179596577,0.9125,0.0,0.51,206.59031135356184
764448740,control_aware,0.02052256950652238,0.04923834294314936,0.9625,0.0,0.515,205.48302511116492
764448740,mse,0.02139991771114693,0.04831291158358292,0.955,0.0,0.5025,206.11269305253737
968395875,control_aware,0.020302602003071192,0.0496658638784381,0.95,0.0,0.53,209.67403937025503
968395875,mse,0.021517358057041268,0.05517640012445428,0.9275,0.0,0.5625,211.01136892841566
937161708,control_aware,0.020628429085343184,0.05136445745314766,0.94,0.0,0.505,203.01974656055876
937161708,mse,0.022308914966417542,0.05273703836341175,0.93,0.0,0.48,203.19553222523945
628296280,control_aware,0.02120349936250548,0.05328327843771633,0.9275,0.0,0.5,204.6732296516803
628296280,mse,0.021980552465341693,0.05405694624386671,0.9275,0.0,0.565,203.86344425031933
988177621,control_aware,0.021851749652454712,0.05579849392905158,0.935,0.0,0.5125,198.5046191158172
988177621,mse,0.022457677854975065,0.05443442932538756,0.92,0.0,0.545,198.89854703194146
1883337971,control_aware,0.02266914887668031,0.05549948628797523,0.925,0.0,0.5075,202.78449646215427
1883337971,mse,0.023003754147019537,0.055968948502031525,0.9175,0.0,0.5375,204.18414191932848
1159050931,control_aware,0.02139847218006741,0.05187016951590948,0.935,0.0,0.5475,197.2623151575571
1159050931,mse,0.022787340930127683,0.05147626435327778,0.94,0.0,0.545,198.45249471744137
324249374,control_aware,0.02177671165716304,0.054139855062015074,0.93,0.0,0.5,208.0682501761203
324249374,mse,0.021962447016965845,0.05214328240796426,0.9325,0.0,0.525,205.88318785542168
372625905,control_aware,0.022101909860999518,0.055365609073166545,0.9325,0.0,0.52,198.91131805336283
372625905,mse,0.02398284344899709,0.05803521264503714,0.91,0.0,0.5525,199.68707929228827
849150165,control_aware,0.022288209152879768,0.05510786624944016,0.935,0.0,0.5,200.0971304977355
849150165,mse,0.023208018341646083,0.05903748087677529,0.9075,0.0,0.5325,200.55117414647228
1729745072,control_aware,0.021901394578005204,0.05499264785379898,0.92,0.0,0.4825,206.07781431760756
1729745072,mse,0.022262153145647164,0.05063203736962345,0.945,0.0,0.525,202.6651456142675
174015626,control_aware,0.02086585712822269,0.04728973694913278,0.9575,0.0,0.4875,210.5487715387756
174015626,mse,0.022506262632943672,0.05541492386271526,0.9225,0.0,0.4675,210.10901797159022
1954316548,control_aware,0.023157817739282615,0.05860072228638393,0.9125,0.0,0.48,203.17168238495
1954316548,mse,0.022946583579167668,0.05686551346266434,0.925,0.0,0.5375,203.31603953375924
1230344216,control_aware,0.021021903757886307,0.05158517806275412,0.935,0.0,0.5175,204.0944785747383
1230344216,mse,0.02244708345129912,0.055092803836897256,0.9175,0.0,0.55,204.92797946946416
1279738591,control_aware,0.021558612675430845,0.053578628271879494,0.9325,0.0,0.49,206.22790941903608
1279738591,mse,0.02222381634428121,0.05659955986232159,0.9325,0.0,0.5175,204.82824138313467
586651730,control_aware,0.022583806591903267,0.05583242794603917,0.9275,0.0,0.4825,208.04748095915295
586651730,mse,0.023102962361000085,0.05733940392756951,0.9225,0.0,0.525,207.50342256933743
1276865964,control_aware,0.021524674047962166,0.051164421313922584,0.9425,0.0,0.4975,204.66141419448047
1276865964,mse,0.022102187733182996,0.051588314995425134,0.94,0.0,0.5525,204.98895643964806
822443271,control_aware,0.021962329970659392,0.05411266168183047,0.93,0.0,0.4975,202.9774952850173
822443271,mse,0.02253743546361618,0.053923644291823745,0.9375,0.0,0.535,201.79833455604097
789175025,control_aware,0.021563297217039753,0.04746558987924691,0.9525,0.0,0.4975,203.71720318497734
789175025,mse,0.022755465574263632,0.05714100347857547,0.9125,0.0,0.52,206.43494643912481
20100105,control_aware,0.02076011957213022,0.051943613414512285,0.9375,0.0,0.5225,203.39233629022868
20100105,mse,0.021525998664177745,0.0529376202329568,0.93,0.0,0.49,203.31721460044176
1085230552,control_aware,0.022287854598250317,0.05525477319169244,0.93,0.0,0.4875,207.34255927474067
1085230552,mse,0.022852815636945075,0.05695655794520825,0.9175,0.0,0.5575,202.4513749543303
1624362658,control_aware,0.021949897709439288,0.05107944093537083,0.9375,0.0,0.4775,208.2073481867603
1624362658,mse,0.02284704979228861,0.05615405541812133,0.9225,0.0,0.5525,205.10858680373667
347344115,control_aware,0.021290888181240922,0.0515331150373608,0.935,0.0,0.5025,207.57035221536054
347344115,mse,0.0226269258003992,0.057044786228200105,0.9125,0.0,0.555,207.97421456850864
312356725,control_aware,0.020488406033286402,0.04901995398599107,0.955,0.0,0.545,202.8575423755336
312356725,mse,0.022462811594041864,0.053836521798989595,0.935,0.0,0.495,201.6030620809251
861444438,control_aware,0.021660348868425654,0.04960217655535421,0.95,0.0,0.5125,201.8849719083614
861444438,mse,0.022663006198767634,0.056084996068534745,0.9375,0.0,0.5325,203.83778483978068
451615936,control_aware,0.021436596602659952,0.052344994546468904,0.9325,0.0,0.51,208.11778205588587
451615936,mse,0.022046412148220923,0.052721900721769056,0.9425,0.0,0.515,206.78457512706
364627971,control_aware,0.020821199024295214,0.050155152786508304,0.9475,0.0,0.4925,204.47722714261016
364627971,mse,0.021106393814567116,0.04822797790620035,0.95,0.0,0.535,204.12287146284567
1066210165,control_aware,0.02229477005349076,0.052297956614532286,0.9375,0.0,0.4675,206.59149719839604
1066210165,mse,0.02230945727868705,0.05504827125048316,0.9275,0.0,0.505,207.1474452646043
526140442,control_aware,0.022742294875295846,0.05516072640706254,0.9225,0.0,0.4775,199.3972284867712
526140442,mse,0.02380434807925087,0.05902119787849196,0.9075,0.0025,0.535,203.9157959493768
695473956,control_aware,0.02228670710758337,0.05710409216139641,0.9325,0.0,0.5225,205.64810214083496
695473956,mse,0.022235546162522137,0.05538627389933424,0.9325,0.0,0.5325,206.12142037231692
318877659,control_aware,0.021597917432577135,0.05090311055120515,0.9425,0.0,0.5025,203.34274869760725
318877659,mse,0.023167663096658332,0.05638090991934727,0.9275,0.0,0.515,202.33723063162142
1094219417,control_aware,0.021842912257053947,0.05369703974620319,0.9275,0.0,0.5075,207.2404584118594
1094219417,mse,0.023300143424966103,0.05569219112738229,0.92,0.0,0.515,205.87805057284885
879352487,control_aware,0.021398040343999565,0.05352032053483831,0.9225,0.0,0.5,206.0431938497692
879352487,mse,0.023222092296306167,0.0585120924121146,0.9125,0.0,0.5225,208.69886951352225
398454263,control_aware,0.02177629194225851,0.05454428927465026,0.9275,0.0,0.5275,202.76571741121393
398454263,mse,0.022528169329347075,0.05525338804513533,0.9325,0.0,0.53,204.31555431339726
784192818,control_aware,0.02075969264363791,0.05058100089207116,0.9475,0.0,0.56,205.03413753419022
784192818,mse,0.023204597573264145,0.059415141634087947,0.91,0.0,0.4675,205.80846832496167
1046211621,control_aware,0.021017855235697228,0.05239302265169783,0.9325,0.0,0.505,208.46794510865715
1046211621,mse,0.02114200131086653,0.05068500975210221,0.9375,0.0,0.5725,205.2178397567111
210954659,control_aware,0.02139004031604451,0.05255702390803146,0.935,0.0,0.525,202.9246788264012
210954659,mse,0.022750998011897693,0.05437106620246735,0.93,0.0,0.5325,203.35012906162524
924011995,control_aware,0.020718486875675204,0.05231628537008599,0.9425,0.0,0.54,204.53304408313784
924011995,mse,0.022287309399645686,0.05506079892563685,0.9275,0.0,0.52,207.05519094596133
1569944101,control_aware,0.022076794901146515,0.055079623348547074,0.9175,0.0,0.48,204.4854026031748
1569944101,mse,0.022921905855420165,0.05411896881908224,0.9275,0.0,0.5075,202.95642573405436
34530379,control_aware,0.022179122441862563,0.05454854031741665,0.9225,0.0,0.4925,204.10761934968804
34530379,mse,0.023280379034774742,0.05619358196542716,0.92,0.0,0.5475,203.04614574584127
1189536803,control_aware,0.020704980141932214,0.0489953514564668,0.9525,0.0,0.5175,204.08287649258682
1189536803,mse,0.02203034817817765,0.0534067874076219,0.93,0.0,0.5325,203.51984508147402
154654513,control_aware,0.021518623435213442,0.05530054703471098,0.9325,0.0,0.4975,203.18493159531255
154654513,mse,0.022771429585029992,0.053372047366162335,0.935,0.0,0.5375,202.45722733571367
1186748899,control_aware,0.022090066167930727,0.05309463027861605,0.9325,0.0,0.51,205.10939898557646
1186748899,mse,0.022546199821514786,0.05605957502351636,0.915,0.0,0.5125,202.8295496497966
308475090,control_aware,0.02166523627214953,0.05188273652019612,0.945,0.0,0.4925,200.40149209981706
308475090,mse,0.02306699398211647,0.055892159922863505,0.9175,0.0,0.5575,200.53996943278503
213098712,control_aware,0.021934265837018904,0.053175901371847724,0.935,0.0,0.4925,203.53941644121883
213098712,mse,0.022975349764795892,0.05473418743936616,0.9325,0.0,0.52,204.42072808794052
1245982552,control_aware,0.023868326525012393,0.05604630388490366,0.9225,0.0,0.455,201.85413210220824
1245982552,mse,0.024327040578950698,0.05630135222271669,0.91,0.0025,0.4875,203.47726143726914
1357267527,control_aware,0.02124313527029284,0.05072975161856073,0.945,0.0,0.4925,202.38396113964205
1357267527,mse,0.021671701254550646,0.052847263908134046,0.9375,0.0,0.55,203.6325483083995
618033463,control_aware,0.02231292741405623,0.05531945724728889,0.93,0.0,0.4975,198.63984130302532
618033463,mse,0.024188651676077408,0.059916552930082384,0.8975,0.0,0.5275,200.11089843432458
1140963883,control_aware,0.02103785756005172,0.050914794948279066,0.94,0.0,0.5075,204.5581013719486
1140963883,mse,0.022924249433352695,0.05826338351426715,0.925,0.0,0.535,204.8656844123886
160725159,control_aware,0.02218253023428482,0.053379642040524575,0.9325,0.0,0.5125,199.23128309746468
160725159,mse,0.02256850222381155,0.05431656699958197,0.9325,0.0,0.5525,198.5360661753832
233590814,control_aware,0.02225029926332021,0.055065714079810056,0.9325,0.0,0.495,204.9705002105901
233590814,mse,0.022536260046335507,0.05274181793511789,0.935,0.0,0.515,205.52770960697262
422435281,control_aware,0.021825208711537994,0.05642659197979342,0.92,0.0,0.5,204.82737621839755
422435281,mse,0.0234128465576529,0.05756743760144821,0.9175,0.0,0.525,203.33954314075834
1930269405,control_aware,0.022694734440862358,0.05380689473153418,0.935,0.0,0.4675,204.4343533971437
1930269405,mse,0.024158332516998504,0.061217795544373406,0.9025,0.0,0.4925,205.66791118252272
1467373226,control_aware,0.021603856311465733,0.0533661619947655,0.9375,0.0,0.515,204.77832830875025
1467373226,mse,0.022974872142499717,0.05660797512691346,0.9225,0.0,0.5375,205.01043071958378
1251018961,control_aware,0.02128946903836094,0.055190284952810295,0.9325,0.0,0.4925,211.11917312053936
1251018961,mse,0.021605830858068373,0.0520406410084676,0.9325,0.0,0.47,209.57376875225032
41281430,control_aware,0.021166850301712038,0.05185896256922244,0.94,0.0,0.48,211.13628787059517
41281430,mse,0.021474640713426224,0.05317732103227159,0.9325,0.0,0.5525,209.63757683771357
545828479,control_aware,0.021052832772016198,0.052495251944878626,0.9375,0.0,0.4825,204.07467447307567
545828479,mse,0.02172312420916942,0.052020986540391466,0.935,0.0,0.54,207.00947084000023
1955614470,control_aware,0.02192279605027681,0.05281174437664319,0.935,0.0,0.5075,197.731897937064
1955614470,mse,0.02353616696653381,0.05685983275584924,0.9225,0.0,0.54,198.28698966274717
157692879,control_aware,0.021457648533035174,0.054461164879211994,0.9375,0.0,0.5,209.4248172647193
157692879,mse,0.02293066581666211,0.05794689093235326,0.9175,0.0,0.53,209.38813254601735
