seed,method,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
826101762,mse,0.0223726792477675,0.052821968720732124,0.93,0.0,0.5025,201.60982151888516
826101762,control_aware,0.021191016626424836,0.04925352541464651,0.9525,0.0,0.515,201.30421642136076
529637273,mse,0.022677577512830595,0.054326093540256075,0.92,0.0,0.515,205.6722764383652
529637273,control_aware,0.021318312209533306,0.050637696757908746,0.9475,0.0,0.5325,203.23799689024898
968395875,mse,0.021517358057041268,0.05517640012445428,0.9275,0.0,0.5625,211.01136892841566
968395875,control_aware,0.020302602003071192,0.0496658638784381,0.95,0.0,0.53,209.67403937025503
849150165,mse,0.023208018341646083,0.05903748087677529,0.9075,0.0,0.5325,200.55117414647228
849150165,control_aware,0.022288209152879768,0.05510786624944016,0.935,0.0,0.5,200.0971304977355
822443271,mse,0.02253743546361618,0.053923644291823745,0.9375,0.0,0.535,201.79833455604097
822443271,control_aware,0.021962329970659392,0.05411266168183047,0.93,0.0,0.4975,202.9774952850173
451615936,mse,0.022046412148220923,0.052721900721769056,0.9425,0.0,0.515,206.78457512706
451615936,control_aware,0.021436596602659952,0.052344994546468904,0.9325,0.0,0.51,208.11778205588587
398454263,mse,0.022528169329347075,0.05525338804513533,0.9325,0.0,0.53,204.31555431339726
398454263,control_aware,0.02177629194225851,0.05454428927465026,0.9275,0.0,0.5275,202.76571741121393
154654513,mse,0.022771429585029992,0.053372047366162335,0.935,0.0,0.5375,202.45722733571367
154654513,control_aware,0.021518623435213442,0.05530054703471098,0.9325,0.0,0.4975,203.18493159531255
160725159,mse,0.02256850222381155,0.05431656699958197,0.9325,0.0,0.5525,198.5360661753832
160725159,control_aware,0.02218253023428482,0.053379642040524575,0.9325,0.0,0.5125,199.23128309746468
1955614470,mse,0.02353616696653381,0.05685983275584924,0.9225,0.0,0.54,198.28698966274717
1955614470,control_aware,0.02192279605027681,0.05281174437664319,0.935,0.0,0.5075,197.731897937064
1687551834,mse,0.022357813192074624,0.054776119122403044,0.935,0.0,0.5025,206.2325565885801
1687551834,control_aware,0.02223688476151441,0.05595929645853237,0.925,0.0,0.5275,205.8022775762436
1109085272,mse,0.023039003418304716,0.055011021348117896,0.9325,0.0,0.5075,198.16265329962033
1109085272,control_aware,0.02232431086643376,0.05654045192926865,0.9125,0.0,0.5375,200.134497835022
1547818626,mse,0.022690754445504932,0.05437046965315434,0.9375,0.0,0.5575,203.12362632052628
1547818626,control_aware,0.021437582990763895,0.052015185728062935,0.9475,0.0,0.4975,203.7022991718494
962742503,mse,0.02374792158017077,0.060316571123077804,0.91,0.0,0.5625,204.86996454886406
962742503,control_aware,0.02226808450741731,0.05559254834314157,0.9275,0.0,0.5025,203.14857238773845
743678570,mse,0.022380031484220207,0.05383499810599123,0.93,0.0,0.545,207.020885738775
743678570,control_aware,0.021743761485250656,0.05300896149363002,0.94,0.0,0.4925,205.5095291451983
1124943942,mse,0.023833956670495836,0.057386001900355324,0.9175,0.0,0.495,201.5263201505697
1124943942,control_aware,0.02247363368507754,0.05389919947616352,0.9275,0.0,0.4875,198.57479298058814
1735719926,mse,0.023120877689702998,0.05504656920550309,0.925,0.0,0.4775,205.8057585590958
1735719926,control_aware,0.021458744729954394,0.05425263034695104,0.93,0.0,0.4975,205.10855144890826
1428282260,mse,0.02329113497598536,0.059515129140479066,0.9175,0.0,0.5275,196.828911911633
1428282260,control_aware,0.022608364848296536,0.0556152369007607,0.92,0.0,0.52,199.29112679453326
1260009693,mse,0.0234876568915224,0.057690141014969235,0.9225,0.0,0.53,200.29526376159896
1260009693,control_aware,0.022834635606739075,0.055312868276324326,0.9025,0.0,0.475,201.15638837017602
936857442,mse,0.02269268830690961,0.056682582493171055,0.925,0.0,0.5725,201.1722605587119
936857442,control_aware,0.022358078406882916,0.05310426339907922,0.9325,0.0,0.5075,201.48886233560555
331462518,mse,0.022360818099175096,0.05437859154711724,0.9275,0.0,0.5125,204.9594732653955
331462518,control_aware,0.021703808866687532,0.05319484117092965,0.93,0.0,0.5175,203.4699689636991
1705711115,mse,0.021873899851612148,0.05450608900687747,0.925,0.0,0.5275,205.451809473325
1705711115,control_aware,0.02214273952223386,0.054865802661953546,0.9175,0.0,0.515,205.84635703038919
166282201,mse,0.022860575720529575,0.05543202245330015,0.9275,0.0,0.54,203.58855742768625
166282201,control_aware,0.02183526724779921,0.05427570312996478,0.9275,0.0,0.4725,204.82349787315414
1752827889,mse,0.022300085118915833,0.052856900478101605,0.9425,0.0,0.5175,207.45966281487387
1752827889,control_aware,0.021030146905573907,0.049056008534145865,0.96,0.0,0.5075,206.1877570811099
