seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2122204845,boundary_aware,moderate,0.027984637831915616,0.06682381017872777,0.8625,0.0,0.4525,192.45608419535316
2122204845,boundary_aware,strong,0.039544934690172756,0.09842419382998245,0.675,0.0,0.415,188.177521641073
2122204845,robust_control_aware,moderate,0.02162172140943765,0.06867387816851005,0.89,0.0,0.45,194.17395078530063
2122204845,robust_control_aware,strong,0.028458113828932076,0.0774665532721088,0.82,0.0,0.42,189.8268895294957
2125358484,boundary_aware,moderate,0.026762543990550225,0.06269279532081834,0.8675,0.0,0.4475,191.86923023635956
2125358484,boundary_aware,strong,0.03765108443102542,0.09489077022974945,0.735,0.0,0.43,187.74785196252083
2125358484,robust_control_aware,moderate,0.020255059577280375,0.057544515818814694,0.9375,0.0,0.4375,194.6299000574198
2125358484,robust_control_aware,strong,0.025915918221715767,0.0694228097504614,0.8675,0.0,0.4225,187.11877436481913
2102263140,boundary_aware,moderate,0.028567379492314603,0.07043014374894567,0.8575,0.0,0.5025,193.75389716378817
2102263140,boundary_aware,strong,0.03689985235120018,0.09826831742103345,0.7425,0.0,0.42,184.0590169409516
2102263140,robust_control_aware,moderate,0.020566804406387883,0.05590531649759707,0.9175,0.0,0.4725,191.52027376942604
2102263140,robust_control_aware,strong,0.026422147113557594,0.07746466983621353,0.8575,0.0,0.4325,183.6647907760534
2111040405,boundary_aware,moderate,0.02610114031653689,0.06479930334792627,0.89,0.0,0.4625,190.91787628215468
2111040405,boundary_aware,strong,0.034531993301483994,0.08764554807872692,0.7775,0.0,0.43,182.59435927801007
2111040405,robust_control_aware,moderate,0.01951924745018108,0.054085983063088185,0.925,0.0,0.445,193.2316442949019
2111040405,robust_control_aware,strong,0.023271883439119324,0.06260146531877936,0.9125,0.0,0.465,185.4465389842415
2086037746,boundary_aware,moderate,0.029910641895808075,0.07139357111928864,0.855,0.0025,0.4775,190.03618363239994
2086037746,boundary_aware,strong,0.04125066922154728,0.09896642039662329,0.725,0.005,0.4325,181.215105354228
2086037746,robust_control_aware,moderate,0.021310920107811056,0.05385640216002343,0.9325,0.0,0.45,192.80236124247415
2086037746,robust_control_aware,strong,0.02885203573612425,0.07228942280115878,0.855,0.0,0.4225,182.9854610980108
2078971004,boundary_aware,moderate,0.02776321010911326,0.06557683279511403,0.855,0.0,0.4675,192.20467408523962
2078971004,boundary_aware,strong,0.035792032927569134,0.08399181210189506,0.745,0.0,0.415,186.0354451775495
2078971004,robust_control_aware,moderate,0.021167989107921555,0.056019256683075655,0.925,0.0,0.44,194.44942432648568
2078971004,robust_control_aware,strong,0.02412998508885037,0.06304678378917133,0.9,0.0,0.4275,185.95991613233826
2101413066,boundary_aware,moderate,0.027899292011944653,0.06526816070696058,0.8575,0.0,0.4575,192.12940827438823
2101413066,boundary_aware,strong,0.035476804584123174,0.08504679491981344,0.745,0.0,0.4125,182.52955387188126
2101413066,robust_control_aware,moderate,0.020982190772530062,0.05529347457835657,0.93,0.0,0.4325,192.94328327458345
2101413066,robust_control_aware,strong,0.02497688435739006,0.07025985004063395,0.875,0.0,0.4475,185.6902238338683
2140264644,boundary_aware,moderate,0.028931577757935624,0.07401731830294299,0.8275,0.0,0.4725,189.18687787747302
2140264644,boundary_aware,strong,0.03869332872585309,0.09708100386339334,0.7475,0.0025,0.4325,180.40007365714763
2140264644,robust_control_aware,moderate,0.01935924346929836,0.0553908694172571,0.93,0.0,0.4475,188.62319326047867
2140264644,robust_control_aware,strong,0.024897974836322705,0.07174692312622913,0.8625,0.0,0.45,180.50458311236312
2102376855,boundary_aware,moderate,0.02770221416291514,0.06418458103677631,0.8425,0.0,0.445,185.18600910287276
2102376855,boundary_aware,strong,0.037335961683615,0.09582366754337386,0.7275,0.0,0.4475,182.55786578159382
2102376855,robust_control_aware,moderate,0.021626556514032513,0.060261157448875245,0.9175,0.0,0.425,189.58381216483983
2102376855,robust_control_aware,strong,0.026037170379291173,0.07607456677356068,0.8575,0.0,0.415,182.03280081429824
2026623280,boundary_aware,moderate,0.0272464663610183,0.06653973215440942,0.8625,0.0,0.47,198.49876276440247
2026623280,boundary_aware,strong,0.036857560423517295,0.09758808965088381,0.74,0.0,0.41,190.3697163768399
2026623280,robust_control_aware,moderate,0.022110627177461168,0.06207139546689105,0.905,0.0,0.3875,202.43067577067785
