seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3997641423,boundary_aware,moderate,0.01,0.012868156085191079,0.03482752279126144,0.9875,0.0,0.4575,183.6962349118887
3997641423,boundary_aware,moderate,0.014,0.015145833957189185,0.037437143782162646,0.985,0.0,0.49,184.5192975546075
3997641423,boundary_aware,moderate,0.018,0.019250688324489888,0.042973099655743814,0.9675,0.0,0.525,189.67315966334206
3997641423,boundary_aware,moderate,0.02,0.020595592324885698,0.04429170872035019,0.9675,0.0,0.545,187.60106039910198
3997641423,boundary_aware,moderate,0.022,0.024669932675637996,0.05574005917890409,0.935,0.0,0.5375,194.77520769146295
3997641423,boundary_aware,moderate,0.026,0.027048494624481174,0.0625380466047423,0.8975,0.0,0.54,194.73399923403764
3997641423,boundary_aware,moderate,0.03,0.031992323780635774,0.07813912343084989,0.845,0.0,0.5225,196.586567553358
3997641423,boundary_aware,moderate,0.036,0.04292199620256767,0.10046981279732427,0.6875,0.0025,0.5225,201.24266124179007
3997641423,boundary_aware,strong,0.01,0.018834996634425945,0.04795821836478623,0.9575,0.0,0.41,180.57367517192887
3997641423,boundary_aware,strong,0.014,0.022642559502821395,0.05777637907448863,0.9225,0.0,0.4375,185.05495267956587
3997641423,boundary_aware,strong,0.018,0.023779320166486907,0.06233735437059045,0.92,0.0,0.4625,188.10702321170413
3997641423,boundary_aware,strong,0.02,0.027282091874956896,0.06514255983865103,0.885,0.0,0.4625,190.83157836881722
3997641423,boundary_aware,strong,0.022,0.028831146585189784,0.06923248044353134,0.8525,0.0,0.49,190.65209391492672
3997641423,boundary_aware,strong,0.026,0.03305426591840235,0.07600602752996036,0.805,0.0,0.48,192.00272663739165
3997641423,boundary_aware,strong,0.03,0.040340988134565485,0.09540505284854063,0.71,0.005,0.4725,198.23757460178533
3997641423,boundary_aware,strong,0.036,0.048509593218839964,0.11238328982568081,0.62,0.0,0.485,199.6092099936609
3997641423,robust_control_aware,moderate,0.01,0.014216360836056239,0.028585631462248563,0.99,0.0,0.4825,185.84386971179524
3997641423,robust_control_aware,moderate,0.014,0.015288315758231282,0.03305440257004682,0.9875,0.0,0.56,186.56697181668943
3997641423,robust_control_aware,moderate,0.018,0.017390693067938796,0.03486438054999381,0.9875,0.0,0.61,187.2430831407134
3997641423,robust_control_aware,moderate,0.02,0.0180334695456129,0.03563859981706211,0.9825,0.0,0.61,185.32971261626204
3997641423,robust_control_aware,moderate,0.022,0.01935498091572414,0.03647161845613665,0.9775,0.0,0.6475,188.45700399755196
3997641423,robust_control_aware,moderate,0.026,0.02078146160491349,0.04053373302136683,0.97,0.0,0.6025,188.97084498224456
3997641423,robust_control_aware,moderate,0.03,0.02193243824165524,0.045853199088070395,0.96,0.0,0.4975,187.65673858270418
3997641423,robust_control_aware,moderate,0.036,0.02726494192452857,0.07131704934160979,0.9175,0.0025,0.3975,192.6081219571899
3997641423,robust_control_aware,strong,0.01,0.014937979464243112,0.03779664413256015,0.975,0.0,0.48,180.44262762010635
3997641423,robust_control_aware,strong,0.014,0.017309214974816797,0.04483037442839696,0.9625,0.0,0.495,184.6994636557434
3997641423,robust_control_aware,strong,0.018,0.018644489299959967,0.04885459671197429,0.9525,0.0,0.525,186.65492564655148
3997641423,robust_control_aware,strong,0.02,0.02245305535974132,0.06626262772511744,0.925,0.0025,0.5,190.49843255274465
3997641423,robust_control_aware,strong,0.022,0.023566998067453677,0.06480762366163179,0.91,0.0,0.565,189.87885286655163
3997641423,robust_control_aware,strong,0.026,0.025877777929755545,0.07039777905325754,0.895,0.005,0.545,190.88711260281227
3997641423,robust_control_aware,strong,0.03,0.027921330393074272,0.08246781095180304,0.8775,0.005,0.455,192.77476675360134
3997641423,robust_control_aware,strong,0.036,0.03776891975464068,0.12244917727621768,0.785,0.0125,0.385,194.71862020223676
3073857302,boundary_aware,moderate,0.01,0.01368250396009385,0.03504223493187191,0.9875,0.0,0.4575,181.29787802577306
3073857302,boundary_aware,moderate,0.014,0.01731423046013469,0.042382625655137056,0.985,0.0,0.5025,186.37537457661762
3073857302,boundary_aware,moderate,0.018,0.022034161496512765,0.049352171321604466,0.9525,0.0,0.49,189.71160109672488
3073857302,boundary_aware,moderate,0.02,0.023717184916429965,0.05297864889534043,0.935,0.0,0.4975,188.76707974171734
3073857302,boundary_aware,moderate,0.022,0.02620389608848709,0.06126608886514633,0.905,0.0,0.495,192.27987253233266
3073857302,boundary_aware,moderate,0.026,0.029132328828034747,0.06449955351828582,0.87,0.0,0.5575,194.46435101130936
3073857302,boundary_aware,moderate,0.03,0.03440824982314155,0.0734395658923839,0.805,0.0,0.525,196.22109165416856
3073857302,boundary_aware,moderate,0.036,0.0451308199599539,0.10074612519546845,0.6525,0.0,0.5325,203.18063275534345
3073857302,boundary_aware,strong,0.01,0.021782178496960052,0.05583340432243721,0.92,0.0,0.4325,178.9836433852317
3073857302,boundary_aware,strong,0.014,0.027287075377076916,0.06788413836506609,0.8625,0.0,0.44,180.70941170449902
3073857302,boundary_aware,strong,0.018,0.03301579049143474,0.08044583740637186,0.8175,0.0,0.445,186.28662583765774
3073857302,boundary_aware,strong,0.02,0.036761395491427956,0.08279094989832175,0.7575,0.0,0.42,188.9612440438422
3073857302,boundary_aware,strong,0.022,0.03615348185084337,0.08255895712470157,0.78,0.0,0.4425,191.11871018345346
3073857302,boundary_aware,strong,0.026,0.04171105409666707,0.09389020252853655,0.6925,0.0,0.445,192.56613959191634
3073857302,boundary_aware,strong,0.03,0.04732870270444508,0.11162731915525759,0.6275,0.0,0.46,193.83160426639628
3073857302,boundary_aware,strong,0.036,0.062378392811560414,0.1370321410719444,0.435,0.0075,0.465,197.047065212645
3073857302,robust_control_aware,moderate,0.01,0.015265912530449472,0.03285682653752515,0.9825,0.0,0.4775,182.78789226563387
3073857302,robust_control_aware,moderate,0.014,0.01614254279302655,0.03312244317633033,0.98,0.0,0.5425,183.82202389022063
3073857302,robust_control_aware,moderate,0.018,0.017814231704074514,0.0342559039185882,0.9825,0.0,0.5975,186.42416323663315
3073857302,robust_control_aware,moderate,0.02,0.018452407071845093,0.036884810827761565,0.98,0.0,0.5725,186.32325288818635
3073857302,robust_control_aware,moderate,0.022,0.01953727883278287,0.040205109645331444,0.9825,0.0,0.5875,189.8419675647243
3073857302,robust_control_aware,moderate,0.026,0.021128896133767318,0.04282074817722363,0.9675,0.0,0.53,187.8611793407507
3073857302,robust_control_aware,moderate,0.03,0.023986623392978735,0.0533391549886273,0.94,0.0,0.4775,190.0513738269098
3073857302,robust_control_aware,moderate,0.036,0.027586568760003986,0.06186458323075235,0.915,0.0,0.4675,192.42941389656576
3073857302,robust_control_aware,strong,0.01,0.01538519935221172,0.038033054077182146,0.98,0.0,0.455,176.80248681036846
