seed,noise_aware_mse,control_aware_rank,delta
187814,7.548213999231017,4.597555391880316,-2.950658607350701
189093,10.491176550499596,2.768408673253556,-7.7227678772460395
195743,9.793026750776734,10.457805073890494,0.6647783231137598
198006,10.489183393072329,4.121740948215029,-6.3674424448573
200296,7.563181619877595,2.415403480765397,-5.147778139112198
211540,10.774179218113733,4.718134106445014,-6.05604511166872
212869,6.222495535891715,3.552000237302932,-2.6704952985887833
216347,10.410425983027398,8.024496301666405,-2.3859296813609934
231250,9.901752199751776,1.3348721709707285,-8.566880028781048
235635,9.368289815232668,4.954219577880007,-4.414070237352661
252109,10.478209820645619,4.307134884355503,-6.171074936290116
252846,7.7665694931448765,5.411149855945548,-2.3554196371993283
264476,9.939942687945653,5.740544417390384,-4.199398270555268
265348,8.816915327698183,7.194335759409582,-1.622579568288601
267034,7.8141811400266095,4.826181022248081,-2.9880001177785287
276915,9.755411468979695,9.321807749522609,-0.43360371945708565
278073,7.978215920061957,2.645615512624271,-5.3326004074376865
279406,6.998562257607523,0.008512124314361751,-6.990050133293161
282669,7.949630388553201,11.370232083362858,3.4206016948096565
291557,9.719371783336445,0.055956450277076054,-9.663415333059369
293128,7.584169207082207,0.5626384580889638,-7.021530748993243
296187,9.691425965589202,1.9878372134979896,-7.703588752091212
307073,6.779986404813013,2.9567564685265335,-3.82322993628648
310072,9.53258334350038,1.4041029314194273,-8.128480412080954
326120,6.017102821055602,5.17056718325339,-0.8465356378022113
332234,9.561237164814127,3.0730606616405667,-6.488176503173561
343901,10.19279493288288,10.100933693810482,-0.09186123907239718
344744,7.165634249581615,0.1180154185018271,-7.047618831079788
345006,9.60878684000826,5.2092877317249675,-4.399499108283293
352023,9.420377690566792,1.3838621259861064,-8.036515564580686
352734,11.080955399912476,2.5778890150054377,-8.503066384907038
354898,9.704112845655791,4.848537874615976,-4.855574971039815
357991,7.917121543936475,10.033021913912176,2.1159003699757006
362979,9.117387058782295,5.732149390075579,-3.3852376687067167
373183,8.37783118620803,4.976062930219582,-3.401768255988449
390577,9.810098504743966,3.9182171433684974,-5.891881361375468
409050,10.213361481602643,0.0757592821287605,-10.137602199473882
413579,7.82482872484916,5.5856878978637114,-2.239140826985449
430036,7.372907767286973,3.0461155083317006,-4.3267922589552725
430588,7.513299233949873,4.10722276576926,-3.406076468180613
432114,11.386446695207727,1.5496577614190716,-9.836788933788656
439843,7.34238178382211,0.0723667860104692,-7.270014997811641
447864,10.332700184971074,4.12720576255764,-6.205494422413434
448305,8.729930342358607,1.2604833124692116,-7.469447029889395
452039,8.258839056555015,3.80150962460489,-4.457329431950125
453012,5.712003535926937,8.53377029757441,2.8217667616474733
453945,9.549149461177182,5.614849276474368,-3.9343001847028134
454587,9.2312117758192,4.642207820991442,-4.589003954827757
457120,8.483149916927752,5.721069531007725,-2.7620803859200276
464419,6.686753064097145,3.3694997641003015,-3.3172532999968434
478885,8.093808270023713,5.3287017829450996,-2.7651064870786133
479977,8.014433101906276,5.236154469320027,-2.7782786325862485
485595,9.631209182643472,5.278385214826106,-4.352823967817366
487786,10.032498063335051,3.685682011162479,-6.3468160521725725
494257,10.920571108986973,5.544801158099221,-5.375769950887752
494380,9.804522317582311,3.679775532644337,-6.124746784937974
498154,10.710611648567001,2.848614360674624,-7.861997287892377
498487,10.883253060528858,0.059488506989058845,-10.8237645535398
505322,9.127120638034889,4.793172476723644,-4.333948161311245
506126,9.317894946275402,4.92660304411189,-4.391291902163512
507465,9.130007877581637,0.01503839148387515,-9.114969486097761
515560,10.29692502716129,4.587735364424229,-5.709189662737061
515792,7.127956584271534,4.688892219400243,-2.4390643648712906
526243,8.545198120496945,0.16770089857305576,-8.377497221923889
533869,10.761402969898366,0.04100536137061065,-10.720397608527756
547005,7.65812978061212,5.812956617375322,-1.8451731632367974
561342,10.036612217333154,7.506420961632992,-2.530191255700162
566245,8.343702163616175,9.572087389588015,1.2283852259718397
567041,4.280388478291711,3.9323993432423685,-0.3479891350493429
573751,9.23661227902031,5.459634896021483,-3.776977382998827
603892,10.019692589203611,1.0737430409782485,-8.945949548225363
604816,11.299390532599652,1.7573687143449361,-9.542021818254716
609060,9.743212762331968,5.656667708085249,-4.086545054246719
622572,9.145139039819668,3.1946208036761083,-5.95051823614356
629326,10.501827492127159,0.10998652902913245,-10.391840963098026
633686,9.823550070577319,5.331669851840143,-4.491880218737176
634959,10.249602081473139,0.0065939251477325,-10.243008156325406
642029,8.778609682433004,1.178747860265132,-7.599861822167872
642340,8.333823312111342,2.8363556954974385,-5.497467616613903
650887,10.157701931847612,7.5282140745065576,-2.6294878573410543
657306,10.33258460297259,7.887997071964205,-2.444587531008385
665908,10.633486003453811,0.09665693234143795,-10.536829071112374
685336,5.154706173110025,4.385825039771394,-0.7688811333386312
702757,10.351697825477707,2.9042394766183524,-7.447458348859355
712443,10.716729840793349,6.4409627957072955,-4.275767045086053
712794,7.107338442272613,4.1400021494469765,-2.967336292825636
725805,8.004200063360967,3.578149218428915,-4.4260508449320515
732872,9.803161584105716,3.6101563309649944,-6.193005253140722
740250,9.75340481162997,8.97069476639077,-0.7827100452392006
743015,7.21499184342623,5.044385769944463,-2.1706060734817667
749551,9.243411656411173,1.83140044019764,-7.412011216213532
754922,8.873416164049976,4.494212920918348,-4.379203243131628
756981,11.405098208707557,4.4439042062613785,-6.961194002446178
761934,10.14720566881294,3.451797074983408,-6.695408593829533
770018,10.717019448456066,5.368810528183973,-5.348208920272093
781371,3.298743865546024,5.614776113754492,2.316032248208468
783157,8.172843633193516,2.0013105173873478,-6.171533115806168
806998,10.221534403977236,2.8354200884643954,-7.38611431551284
815050,9.205999527009686,7.372982656762513,-1.8330168702471727
834173,8.734374302714993,10.22464702603095,1.4902727233159574
836971,9.426221326508497,0.06969169493175299,-9.356529631576743
837747,11.019111137900778,1.5697249714200523,-9.449386166480725
844739,7.383861575821018,7.123194523327109,-0.2606670524939094
851244,8.898849527133978,11.441053109169033,2.5422035820350555
854376,9.80327649537734,0.02932597351601565,-9.773950521861323
855243,9.96337590799438,0.7404861342633265,-9.222889773731053
867013,10.153571734339895,0.0364742430076592,-10.117097491332236
878081,9.723524497466077,2.4594760325803806,-7.264048464885696
881870,9.65429453424587,0.02967440877012,-9.62462012547575
891795,10.289844428723697,9.223301077660082,-1.0665433510636149
893625,10.274704455388347,0.018352103974104653,-10.256352351414243
901661,10.47118440943946,5.979005824421959,-4.4921785850175
