seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3389111171,boundary_aware,moderate,0.02346705810392,0.0540947238003623,0.925,0.0,0.5375,190.95609844926105
3389111171,boundary_aware,strong,0.0311246255521265,0.0763062765198934,0.8125,0.0,0.44,190.891482563096
3389111171,robust_control_aware,moderate,0.0185774831590881,0.0348819216755745,0.99,0.0,0.6,191.62408006675716
3389111171,robust_control_aware,strong,0.0246302764623658,0.0609365987027478,0.91,0.0,0.4975,189.6060820619993
3084139821,boundary_aware,moderate,0.0221459901685087,0.0519156033091735,0.9375,0.0,0.525,197.07080129411932
3084139821,boundary_aware,strong,0.0338664476238832,0.0844039866277819,0.8075,0.0,0.44,193.99121483223857
3084139821,robust_control_aware,moderate,0.0187766691420442,0.035315341901952,0.9825,0.0,0.6,194.9504509349312
3084139821,robust_control_aware,strong,0.0327119125683963,0.1016377024564655,0.8025,0.0025,0.51,189.66662785767863
2042987557,boundary_aware,moderate,0.0241743937277083,0.0560039062806924,0.9225,0.0,0.5725,189.1322462018448
2042987557,boundary_aware,strong,0.0253287960790194,0.0615024111783993,0.9125,0.0,0.54,182.4612248017956
2042987557,robust_control_aware,moderate,0.0195305603624225,0.0393068471120289,0.9675,0.0,0.62,183.8580165278013
2042987557,robust_control_aware,strong,0.0219195709082518,0.0515652823302887,0.9475,0.0,0.5825,183.2955757121589
3002971205,boundary_aware,moderate,0.0229963832572083,0.0531516238675969,0.93,0.0,0.515,194.5941291628726
3002971205,boundary_aware,strong,0.0278481561145785,0.0685413422226572,0.865,0.0,0.4575,193.0367000446876
3002971205,robust_control_aware,moderate,0.0180204600577145,0.0368265111460086,0.9825,0.0,0.6025,189.7891823881214
3002971205,robust_control_aware,strong,0.0175881451136159,0.0402087964859025,0.9875,0.0,0.5325,190.2001104547105
4027510005,boundary_aware,moderate,0.0246010603494107,0.058169160225766,0.92,0.0,0.505,196.33915119157257
4027510005,boundary_aware,strong,0.038198300240501,0.0950710546062024,0.7375,0.0025,0.4375,190.46756571315356
4027510005,robust_control_aware,moderate,0.0190846127363589,0.0387124289639371,0.9725,0.0,0.6075,192.41418395494293
4027510005,robust_control_aware,strong,0.026462995606675,0.0737744904305367,0.8975,0.0025,0.5275,192.0116704516127
2672624958,boundary_aware,moderate,0.0244984019449235,0.0594100432189558,0.93,0.0,0.53,194.02290888838712
2672624958,boundary_aware,strong,0.041560863165682,0.0960186736739529,0.7025,0.0,0.4225,197.60534756309767
2672624958,robust_control_aware,moderate,0.019522858947767,0.0390286992420511,0.985,0.0,0.6075,192.59951571731887
2672624958,robust_control_aware,strong,0.0299694354098752,0.0908987820457336,0.84,0.0,0.515,192.7767780055555
2738655513,boundary_aware,moderate,0.0223196610722604,0.0522405369596754,0.9375,0.0,0.5575,190.814650524324
2738655513,boundary_aware,strong,0.0358952882689084,0.0919358788829018,0.7725,0.0,0.4775,188.0231082674077
2738655513,robust_control_aware,moderate,0.0190322388003011,0.0401916971427668,0.98,0.0,0.6025,188.17218363152503
2738655513,robust_control_aware,strong,0.0259210666479674,0.0738510552682207,0.9,0.0025,0.53,193.04239456091517
829092966,boundary_aware,moderate,0.0227271162294546,0.0487425074052472,0.96,0.0,0.565,194.0614273537006
829092966,boundary_aware,strong,0.0310309334747134,0.0763205122331473,0.8325,0.0,0.4625,187.23707912188237
829092966,robust_control_aware,moderate,0.0191464979575869,0.0389395110155866,0.975,0.0,0.595,189.94918809440657
829092966,robust_control_aware,strong,0.0303277840360564,0.0906085833077346,0.8525,0.0,0.5275,186.90431897177237
2633362063,boundary_aware,moderate,0.0221468648475313,0.0514683353540758,0.945,0.0,0.4975,188.01979256091315
2633362063,boundary_aware,strong,0.0276706603068179,0.0730442105763486,0.88,0.0,0.4575,185.67013214143927
2633362063,robust_control_aware,moderate,0.0186556595038437,0.0380470057386415,0.985,0.0,0.63,187.41769113333385
2633362063,robust_control_aware,strong,0.0218658952638168,0.0524694564266227,0.9425,0.0,0.5825,187.396735672287
962559107,boundary_aware,moderate,0.0234898409260408,0.050398591937405,0.945,0.0,0.54,196.7723664446781
962559107,boundary_aware,strong,0.035120833982657,0.0893063417065868,0.7525,0.0,0.4375,189.22300782583343
962559107,robust_control_aware,moderate,0.0187754715808884,0.036251611136252,0.99,0.0,0.575,191.8726835384253
962559107,robust_control_aware,strong,0.0252065519458527,0.0673816517483887,0.885,0.0,0.5275,192.59232148899548
1093805409,boundary_aware,moderate,0.0225752759994007,0.0546777633740461,0.935,0.0,0.54,198.40536505080792
1093805409,boundary_aware,strong,0.0327615004409368,0.0748298442147726,0.8225,0.0,0.4625,194.22066349624515
1093805409,robust_control_aware,moderate,0.0187046377305657,0.0344612044180162,0.9775,0.0,0.61,194.80156940366828
1093805409,robust_control_aware,strong,0.019644560505817,0.0443419262505633,0.9625,0.0,0.5575,193.8671905052077
962587854,boundary_aware,moderate,0.019249902766992,0.0466575412781879,0.9625,0.0,0.5075,193.28361336932016
962587854,boundary_aware,strong,0.0173668663758756,0.0443064595153346,0.9775,0.0,0.48,186.5375022436224
962587854,robust_control_aware,moderate,0.0175777100753478,0.0344777000184044,0.9825,0.0,0.5525,190.3457027402304
962587854,robust_control_aware,strong,0.0164826744709088,0.0358630386810569,0.985,0.0,0.5,192.22395360301985
860894674,boundary_aware,moderate,0.0216215529631013,0.0497685154085627,0.95,0.0,0.5325,194.2844532632779
860894674,boundary_aware,strong,0.0276339005930944,0.0686347667597136,0.87,0.0,0.4575,191.5751791828132
