seed,method,condition,lambda_task,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
3997641423,boundary_aware,moderate,0.01,0.012868156085191,0.0348275227912614,0.9875,0.0,0.4575,183.6962349118887
3997641423,boundary_aware,moderate,0.014,0.0151458339571891,0.0374371437821626,0.985,0.0,0.49,184.5192975546075
3997641423,boundary_aware,moderate,0.018,0.0192506883244898,0.0429730996557438,0.9675,0.0,0.525,189.6731596633421
3997641423,boundary_aware,moderate,0.02,0.0205955923248856,0.0442917087203501,0.9675,0.0,0.545,187.601060399102
3997641423,boundary_aware,moderate,0.022,0.0246699326756379,0.055740059178904,0.935,0.0,0.5375,194.77520769146292
3997641423,boundary_aware,moderate,0.026,0.0270484946244811,0.0625380466047423,0.8975,0.0,0.54,194.73399923403764
3997641423,boundary_aware,moderate,0.03,0.0319923237806357,0.0781391234308498,0.845,0.0,0.5225,196.586567553358
3997641423,boundary_aware,moderate,0.036,0.0429219962025676,0.1004698127973242,0.6875,0.0025,0.5225,201.24266124179007
3997641423,boundary_aware,strong,0.01,0.0188349966344259,0.0479582183647862,0.9575,0.0,0.41,180.57367517192887
3997641423,boundary_aware,strong,0.014,0.0226425595028213,0.0577763790744886,0.9225,0.0,0.4375,185.05495267956587
3997641423,boundary_aware,strong,0.018,0.0237793201664869,0.0623373543705904,0.92,0.0,0.4625,188.10702321170413
3997641423,boundary_aware,strong,0.02,0.0272820918749568,0.065142559838651,0.885,0.0,0.4625,190.8315783688172
3997641423,boundary_aware,strong,0.022,0.0288311465851897,0.0692324804435313,0.8525,0.0,0.49,190.65209391492672
3997641423,boundary_aware,strong,0.026,0.0330542659184023,0.0760060275299603,0.805,0.0,0.48,192.00272663739165
3997641423,boundary_aware,strong,0.03,0.0403409881345654,0.0954050528485406,0.71,0.005,0.4725,198.23757460178533
3997641423,boundary_aware,strong,0.036,0.0485095932188399,0.1123832898256808,0.62,0.0,0.485,199.6092099936609
3997641423,robust_control_aware,moderate,0.01,0.0142163608360562,0.0285856314622485,0.99,0.0,0.4825,185.84386971179524
3997641423,robust_control_aware,moderate,0.014,0.0152883157582312,0.0330544025700468,0.9875,0.0,0.56,186.56697181668943
3997641423,robust_control_aware,moderate,0.018,0.0173906930679387,0.0348643805499938,0.9875,0.0,0.61,187.2430831407134
3997641423,robust_control_aware,moderate,0.02,0.0180334695456129,0.0356385998170621,0.9825,0.0,0.61,185.32971261626204
3997641423,robust_control_aware,moderate,0.022,0.0193549809157241,0.0364716184561366,0.9775,0.0,0.6475,188.457003997552
3997641423,robust_control_aware,moderate,0.026,0.0207814616049134,0.0405337330213668,0.97,0.0,0.6025,188.97084498224456
3997641423,robust_control_aware,moderate,0.03,0.0219324382416552,0.0458531990880703,0.96,0.0,0.4975,187.65673858270415
3997641423,robust_control_aware,moderate,0.036,0.0272649419245285,0.0713170493416097,0.9175,0.0025,0.3975,192.6081219571899
3997641423,robust_control_aware,strong,0.01,0.0149379794642431,0.0377966441325601,0.975,0.0,0.48,180.44262762010635
3997641423,robust_control_aware,strong,0.014,0.0173092149748167,0.0448303744283969,0.9625,0.0,0.495,184.6994636557434
3997641423,robust_control_aware,strong,0.018,0.0186444892999599,0.0488545967119742,0.9525,0.0,0.525,186.65492564655148
3997641423,robust_control_aware,strong,0.02,0.0224530553597413,0.0662626277251174,0.925,0.0025,0.5,190.49843255274465
3997641423,robust_control_aware,strong,0.022,0.0235669980674536,0.0648076236616317,0.91,0.0,0.565,189.87885286655165
3997641423,robust_control_aware,strong,0.026,0.0258777779297555,0.0703977790532575,0.895,0.005,0.545,190.88711260281227
3997641423,robust_control_aware,strong,0.03,0.0279213303930742,0.082467810951803,0.8775,0.005,0.455,192.7747667536013
3997641423,robust_control_aware,strong,0.036,0.0377689197546406,0.1224491772762176,0.785,0.0125,0.385,194.7186202022368
3073857302,boundary_aware,moderate,0.01,0.0136825039600938,0.0350422349318719,0.9875,0.0,0.4575,181.29787802577303
3073857302,boundary_aware,moderate,0.014,0.0173142304601346,0.042382625655137,0.985,0.0,0.5025,186.3753745766176
3073857302,boundary_aware,moderate,0.018,0.0220341614965127,0.0493521713216044,0.9525,0.0,0.49,189.71160109672488
3073857302,boundary_aware,moderate,0.02,0.0237171849164299,0.0529786488953404,0.935,0.0,0.4975,188.7670797417173
3073857302,boundary_aware,moderate,0.022,0.026203896088487,0.0612660888651463,0.905,0.0,0.495,192.27987253233263
