method,condition,n_seeds,mean_D,se_mean_D,p95_D,se_p95_D,viability_occupancy,se_viability_occupancy,severe_fraction,se_severe_fraction,action_agreement,se_action_agreement,cumulative_task,se_cumulative_task
boundary_aware,moderate,192,0.02231602694508437,0.00011010145158554535,0.051935258327863804,0.0003006862942228019,0.9402734375,0.0012864652195050306,0.0,0.0,0.5235546875,0.0015786592490388712,191.605872244604,0.2778630163776051
boundary_aware,strong,192,0.029497981745863388,0.0003943700635559102,0.07112133238648827,0.0009527235077451545,0.8487760416666666,0.004808448691922692,0.000234375,5.586586525546445e-05,0.46125,0.0016151154263129726,188.37370282291764,0.3197884863139165
robust_control_aware,moderate,192,0.01882703041088619,6.204721844454237e-05,0.03779700915848513,0.0001818176032639145,0.9794921875,0.0005760555955095447,0.0,0.0,0.6036979166666666,0.0018352162349730057,189.54341377805181,0.25482736112766374
robust_control_aware,strong,192,0.023735279181308064,0.00046311434344690713,0.06107260924082104,0.0015853621123999612,0.9160416666666666,0.0049578397212759456,0.000546875,0.0001655513065003952,0.5300130208333332,0.0021950441305234334,189.62574813648106,0.3034837461585417
mse,nominal,192,0.019792038576962472,4.1266994855029406e-05,0.03945428089905336,0.00014776920728986357,0.9788932291666667,0.0005540821360308381,0.0,0.0,0.7439453124999998,0.0014710259396597625,190.1591566931742,0.23591707678753643
noise_aware,nominal,192,0.01904851377621668,4.043744859948674e-05,0.038554653784470254,0.00016834258982723405,0.9788802083333333,0.0005677713732071158,0.0,0.0,0.7683072916666666,0.0014636592766678665,189.1099564053054,0.23208622758710093
boundary_aware,nominal,192,0.018479750003490784,3.806152601448549e-05,0.03668744040988809,0.00013942777393470567,0.9815234374999999,0.0005382192753037736,0.0,0.0,0.7896354166666667,0.0014342499602510792,187.69620464900436,0.243141114083022
sharpness_aware,nominal,192,0.020989517069566536,3.996027296241241e-05,0.040748134716841286,0.00015364582683602675,0.9757031249999999,0.0005604195607972011,0.0,0.0,0.6683854166666666,0.0014964734501651399,188.84037621706997,0.2254391153108046
robust_control_aware,nominal,192,0.018624512535691157,3.519540810182023e-05,0.03307526261409275,0.0001318870284540098,0.9826562500000001,0.00046947660380756783,0.0,0.0,0.6629296875,0.002003288640977596,189.05682384605794,0.24327390883399952
mse,mild,192,0.020927240889691178,5.826462648792356e-05,0.046827159451420575,0.00021237254334520805,0.9607682291666667,0.000832126135823472,0.0,0.0,0.5949869791666668,0.0016142179675659473,195.14436095018672,0.2648067219673005
noise_aware,mild,192,0.020674862949240216,5.5213519817960216e-05,0.04674935168858293,0.00021292189467503523,0.9610156249999999,0.0007964877964598507,0.0,0.0,0.6009375,0.0015481452302720062,194.8209380864204,0.26048050836130743
boundary_aware,mild,192,0.019851630453834656,5.8360553275149616e-05,0.04460214002879042,0.00020588353742304405,0.9672265624999999,0.0007323194963714693,0.0,0.0,0.6009895833333333,0.0015536900774791558,193.13608147361796,0.2768022454197407
sharpness_aware,mild,192,0.022217388091400444,5.977472342198275e-05,0.04881486618510648,0.00021194633465103664,0.9533984375000001,0.0008244443487365701,0.0,0.0,0.5733463541666667,0.0015047120709445526,195.12038371174427,0.26685383749337593
robust_control_aware,mild,192,0.01853993559213957,4.3099931896963285e-05,0.03405179628010306,0.0001388118427096284,0.9825911458333333,0.0005057386362239196,0.0,0.0,0.6321484374999999,0.001825219179348824,189.00142123232857,0.25293210593519555
mse,moderate,192,0.023187594573970672,0.00013054041509983854,0.05408793825119101,0.00033690654304425967,0.9305989583333334,0.0015094607821860596,1.3020833333333334e-05,1.3020833333333338e-05,0.5209374999999999,0.0015214951105052721,193.4186961161585,0.2789949161558738
noise_aware,moderate,192,0.0232818148420392,0.0001175705160162426,0.05451201896085659,0.00034199791876039174,0.9294791666666665,0.0014009326380661808,1.3020833333333334e-05,1.3020833333333338e-05,0.5237369791666667,0.0013347927847194448,193.14047593907767,0.2738990209570706
sharpness_aware,moderate,192,0.02449668991186807,0.00010631290754424656,0.05715746876724004,0.00031523676125786956,0.9173567708333333,0.0014490540408767497,3.90625e-05,2.243435696022033e-05,0.5144270833333333,0.001482054144969015,194.45820290340234,0.2764462865407658
mse,strong,192,0.030251728215407586,0.0004377593745884877,0.07360742423204265,0.0010323260416712386,0.8341145833333333,0.005396859288728688,0.0003385416666666667,7.440037929625758e-05,0.46031249999999996,0.0014463835075361584,189.48301471263684,0.31045343269123327
noise_aware,strong,192,0.030220904707532633,0.00033550299792286533,0.07324281738754918,0.0007521371148871696,0.8353515625,0.004186142917589507,0.00024739583333333335,5.99953409323714e-05,0.460390625,0.0014813292556263066,188.74770018563245,0.3275807588660319
sharpness_aware,strong,192,0.03149526712551204,0.0003483448123596028,0.07769758610747042,0.0008618500246637661,0.8216015625,0.0042876112981297095,0.00046875,9.703733302638011e-05,0.45858072916666665,0.0013442794037898745,191.34143942427684,0.32603581453990704
