seed,method,condition,mean_D,p95_D,viability_occupancy,severe_fraction,action_agreement,cumulative_task
2087396436,boundary_aware,moderate,0.03003934483046526,0.07289207952001087,0.8425,0.0,0.48,190.0887964916581
2087396436,boundary_aware,strong,0.0374551237913193,0.09478674736047024,0.735,0.0,0.4275,183.12310462035964
2087396436,robust_control_aware,moderate,0.021326695269667354,0.05583199287178417,0.915,0.0,0.47,193.44505682280965
2087396436,robust_control_aware,strong,0.027779022178290314,0.07960657281953132,0.855,0.0,0.435,186.83226437348534
2130356512,boundary_aware,moderate,0.027176637806815576,0.06443052825145784,0.8725,0.0,0.445,196.6964277870447
2130356512,boundary_aware,strong,0.03378646492424966,0.08111746340476038,0.7825,0.0,0.4375,190.3399588484998
2130356512,robust_control_aware,moderate,0.018910657890793606,0.05003314354388331,0.95,0.0,0.4525,197.76874860731814
2130356512,robust_control_aware,strong,0.027342285149375253,0.0777216853727167,0.8525,0.0,0.3825,188.69183184832323
2071315916,boundary_aware,moderate,0.02752881946077406,0.06822188631357758,0.8575,0.0,0.4625,195.42862163487052
2071315916,boundary_aware,strong,0.034487267512672275,0.07922063229100589,0.7925,0.0,0.4425,185.6084963703936
2071315916,robust_control_aware,moderate,0.019873502867394418,0.05586261192265331,0.935,0.0,0.4375,195.6355356746697
2071315916,robust_control_aware,strong,0.024669251844949665,0.07239844677977596,0.8675,0.0,0.4275,187.84732579009327
2083795155,boundary_aware,moderate,0.02645152447673672,0.06351502043980671,0.8575,0.0,0.4975,190.35777638952072
2083795155,boundary_aware,strong,0.035804665790246853,0.08711002642545458,0.77,0.0,0.4375,185.9849840744769
2083795155,robust_control_aware,moderate,0.020633348311117024,0.05775181281902255,0.9225,0.0,0.435,192.6519719400174
2083795155,robust_control_aware,strong,0.025910519935839756,0.06784906399370587,0.8475,0.0,0.4375,187.20945650553193
2142707551,boundary_aware,moderate,0.03151313160218274,0.07642834581812537,0.8225,0.0,0.4425,189.455729729848
2142707551,boundary_aware,strong,0.0395675252088145,0.09314141250778321,0.71,0.0,0.42,187.07987464686505
2142707551,robust_control_aware,moderate,0.02274725054934663,0.058492279184078115,0.9225,0.0,0.4475,195.15946778706854
2142707551,robust_control_aware,strong,0.03061916509830117,0.08508098884704322,0.84,0.0025,0.41,189.8461573079109
2146192870,boundary_aware,moderate,0.029935549405399792,0.07289230610352333,0.8375,0.0,0.4625,185.19480684719963
2146192870,boundary_aware,strong,0.03803774627206866,0.09418723381819852,0.72,0.0,0.415,178.6073716350114
2146192870,robust_control_aware,moderate,0.021113651207623763,0.05735242668568207,0.925,0.0,0.465,191.6851532075024
2146192870,robust_control_aware,strong,0.024329508203031373,0.0626665181972124,0.9,0.0,0.435,179.64028713341963
2087118169,boundary_aware,moderate,0.028186224659918765,0.06645052513369172,0.865,0.0,0.475,195.96399368443275
2087118169,boundary_aware,strong,0.03797885059662952,0.09282294308727218,0.755,0.0025,0.4425,191.50885692848703
2087118169,robust_control_aware,moderate,0.019098683742886636,0.05545969898694712,0.945,0.0,0.4525,195.15263589745948
2087118169,robust_control_aware,strong,0.026734815808319618,0.0711772922540708,0.8775,0.0025,0.4175,192.46573483515022
2007894123,boundary_aware,moderate,0.02658568097009152,0.06200945351846814,0.8925,0.0,0.4775,182.19011513523407
2007894123,boundary_aware,strong,0.03335751847639081,0.08251152703792727,0.78,0.0,0.4525,177.10677668315145
2007894123,robust_control_aware,moderate,0.018525016946847633,0.05039171514409467,0.9475,0.0,0.475,182.93717844783401
2007894123,robust_control_aware,strong,0.021602889657303975,0.06370949193593742,0.9075,0.0,0.43,176.2440023971657
2101220304,boundary_aware,moderate,0.028762902381249535,0.0704121649657138,0.85,0.0,0.4475,189.32557267771074
2101220304,boundary_aware,strong,0.0360812899128701,0.08757825720656283,0.7375,0.0,0.4,179.284807420747
2101220304,robust_control_aware,moderate,0.020102973977883364,0.05506579326236957,0.925,0.0,0.4675,188.56226017221456
2101220304,robust_control_aware,strong,0.02598097125905012,0.0671050600017885,0.87,0.0,0.4275,181.7619065802028
2028595237,boundary_aware,moderate,0.03107985783947415,0.0729554840255487,0.8075,0.0,0.4725,187.0035023115932
2028595237,boundary_aware,strong,0.039784145593051184,0.09950177634986956,0.725,0.0025,0.4625,179.15472059436715
2028595237,robust_control_aware,moderate,0.021094498324717933,0.05634344832786939,0.9225,0.0,0.4625,189.13839856954212
2028595237,robust_control_aware,strong,0.028584250087028553,0.07271729363499779,0.83,0.0,0.435,179.16473865641484
2005581507,boundary_aware,moderate,0.02943267808075808,0.07148720744752593,0.845,0.0,0.475,187.57126341110597
2005581507,boundary_aware,strong,0.03691533629655277,0.08020385424704138,0.7325,0.0025,0.44,185.0241558936438
2005581507,robust_control_aware,moderate,0.02048536810820932,0.0565896346653638,0.9175,0.0,0.4725,188.99758786516026
2005581507,robust_control_aware,strong,0.027467896490824217,0.06797815319794068,0.8425,0.0,0.42,181.9797962710124
2019592415,boundary_aware,moderate,0.027115216401644496,0.06612511852239411,0.8825,0.0,0.455,190.05833338697857
2019592415,boundary_aware,strong,0.036849792045395936,0.09227659761023986,0.7525,0.0,0.4075,188.08168896627876
2019592415,robust_control_aware,moderate,0.02185819120459076,0.05874628914821711,0.9225,0.0,0.425,195.18426646252317
2019592415,robust_control_aware,strong,0.027454230600483978,0.07326075614769774,0.8625,0.0,0.4025,188.2928503219458
2059628253,boundary_aware,moderate,0.02812509727260566,0.06589772083054865,0.8425,0.0,0.4375,196.46378997174642
2059628253,boundary_aware,strong,0.03482326942993167,0.08057600456568124,0.7775,0.0,0.4175,186.77435156101217
2059628253,robust_control_aware,moderate,0.021726644988681033,0.054035056006225886,0.93,0.0,0.4325,199.6367509452112
2059628253,robust_control_aware,strong,0.024739613471031756,0.061550829352194074,0.8925,0.0,0.4175,189.1209921446827
2033169895,boundary_aware,moderate,0.027028678399273177,0.059611474252746,0.8875,0.0,0.4575,195.11892635264468
2033169895,boundary_aware,strong,0.036595263428357866,0.0851401406212509,0.765,0.0025,0.395,184.27226562766376
2033169895,robust_control_aware,moderate,0.01919543871466936,0.045267465997403666,0.9625,0.0,0.455,196.56995374496617
2033169895,robust_control_aware,strong,0.025057030772884806,0.06294936285559756,0.8975,0.0025,0.4225,185.14233897762682
2018316256,boundary_aware,moderate,0.026207361369703072,0.06179964023508804,0.89,0.0,0.4525,186.62126633596398
2018316256,boundary_aware,strong,0.035007525946837786,0.08383118019499154,0.755,0.0025,0.4125,176.8193441119047
2018316256,robust_control_aware,moderate,0.01822097113214555,0.04607795551128592,0.9625,0.0,0.42,188.86752157191853
2018316256,robust_control_aware,strong,0.02065044370352105,0.05204357661692545,0.9325,0.0,0.4075,177.17090807640162
2002632644,boundary_aware,moderate,0.026286939901552033,0.0661108403212118,0.88,0.0,0.4575,188.61401881415486
2002632644,boundary_aware,strong,0.03453437723509065,0.09202722101603551,0.77,0.0,0.4225,184.23174398779557
2002632644,robust_control_aware,moderate,0.021224112075442027,0.062147305332032304,0.92,0.0,0.4175,192.95666144531356
2002632644,robust_control_aware,strong,0.025904335299132556,0.075396311142672,0.8575,0.0,0.445,187.85096124712433
2132107514,boundary_aware,moderate,0.025550162821918052,0.06478157142542972,0.8825,0.0,0.495,193.38166133506445
2132107514,boundary_aware,strong,0.033453840615673344,0.08749266888876103,0.7775,0.0,0.4225,189.60709290428701
2132107514,robust_control_aware,moderate,0.021476766841503802,0.05925980086590846,0.905,0.0,0.45,195.86889162413314
2132107514,robust_control_aware,strong,0.02519173275372906,0.06767862820097433,0.8725,0.0,0.395,191.87316583050955
2133554493,boundary_aware,moderate,0.029292926926951145,0.07168293036648918,0.84,0.0,0.4525,188.88680552685267
2133554493,boundary_aware,strong,0.0377626152092811,0.08768755419874708,0.735,0.0,0.4,180.2533873111604
2133554493,robust_control_aware,moderate,0.019652858190056112,0.05122747400059036,0.945,0.0,0.4675,191.55633774516545
2133554493,robust_control_aware,strong,0.02377682277447907,0.06457959716695436,0.885,0.0,0.4575,182.92390221964106
2012208449,boundary_aware,moderate,0.02956844159029941,0.07248198594884997,0.8425,0.0,0.465,190.2648854449485
2012208449,boundary_aware,strong,0.03656740671643043,0.08793777378799272,0.7625,0.0,0.4025,186.32144673715675
2012208449,robust_control_aware,moderate,0.0197454658771264,0.057869464920197046,0.94,0.0,0.465,189.98088834030233
2012208449,robust_control_aware,strong,0.025879679805799385,0.07402051934865814,0.8825,0.0,0.4125,187.505509329095
2053414554,boundary_aware,moderate,0.027360709027414352,0.06338964950248378,0.8725,0.0,0.465,195.1595519052471
2053414554,boundary_aware,strong,0.03686870452085787,0.08946543280047148,0.7575,0.0025,0.405,189.30096332825437
2053414554,robust_control_aware,moderate,0.02004716026565222,0.05584832446967895,0.9325,0.0,0.4375,195.97429294886726
2053414554,robust_control_aware,strong,0.027596564929106195,0.07671217395904298,0.85,0.0,0.4175,190.28641361894358
2100733375,boundary_aware,moderate,0.025545850701704658,0.062401859448907526,0.865,0.0,0.4725,191.5212704874881
2100733375,boundary_aware,strong,0.03365029411000582,0.0886476831094971,0.7775,0.0,0.415,178.37230496437255
2100733375,robust_control_aware,moderate,0.019273960528314253,0.05086152127687598,0.9425,0.0,0.4475,192.3688562961311
2100733375,robust_control_aware,strong,0.022993993173175027,0.06373919680956043,0.9,0.0,0.43,182.76616161653698
2096545675,boundary_aware,moderate,0.029132135983649218,0.07242687007727666,0.8475,0.0,0.4525,190.39391865205454
2096545675,boundary_aware,strong,0.03480435512871277,0.08396022538407075,0.7775,0.0,0.465,181.79119916758845
2096545675,robust_control_aware,moderate,0.020197305558291946,0.054618408224817394,0.93,0.0,0.42,186.48892749565016
2096545675,robust_control_aware,strong,0.02400449363356185,0.06344272803239534,0.8875,0.0,0.4325,186.43220127753648
2043659061,boundary_aware,moderate,0.027016518798418872,0.06490163187787962,0.8725,0.0,0.48,186.8912347700152
2043659061,boundary_aware,strong,0.03807881670682422,0.0945176810838777,0.7425,0.0,0.425,176.46352491391477
2043659061,robust_control_aware,moderate,0.01922522340901576,0.05385163702596188,0.9275,0.0,0.4575,188.58903849663085
2043659061,robust_control_aware,strong,0.026956558285492975,0.0686515582378136,0.86,0.0,0.4125,180.8366248976057
2083865085,boundary_aware,moderate,0.028588144443773805,0.07651479432258146,0.8625,0.0,0.4825,188.18619658521692
2083865085,boundary_aware,strong,0.03808862221726013,0.09631726397834271,0.7475,0.0025,0.44,179.22818853874276
2083865085,robust_control_aware,moderate,0.02204567765254209,0.06542664983406064,0.91,0.0,0.4475,188.15918523995947
2083865085,robust_control_aware,strong,0.02645776456524547,0.07238613967789206,0.8575,0.0,0.4525,179.67722056018084
2076693313,boundary_aware,moderate,0.027220205979060445,0.0630956899121918,0.86,0.0,0.4575,190.1950726858131
2076693313,boundary_aware,strong,0.03700543682477178,0.09005536070169808,0.745,0.0,0.44,185.26904901422768
